    µm         	 V
   1.324	  -1.101
   1.330	  -1.110
   1.336	  -1.109
   1.342	  -1.106
   1.348	  -1.107
   1.354	  -1.098
   1.359	  -1.110
   1.365	  -1.094
   1.371	  -1.106
   1.377	  -1.095
   1.383	  -1.100
   1.389	  -1.097
   1.395	  -1.098
   1.400	  -1.090
   1.406	  -1.087
   1.412	  -1.092
   1.418	  -1.095
   1.424	  -1.086
   1.430	  -1.097
   1.436	  -1.086
   1.441	  -1.087
   1.447	  -1.092
   1.453	  -1.080
   1.459	  -1.088
   1.465	  -1.087
   1.471	  -1.091
   1.477	  -1.085
   1.482	  -1.084
   1.488	  -1.087
   1.494	  -1.074
   1.500	  -1.079
   1.506	  -1.068
   1.512	  -1.075
   1.518	  -1.079
   1.523	  -1.074
   1.529	  -1.071
   1.535	  -1.072
   1.541	  -1.076
   1.547	  -1.065
   1.553	  -1.066
   1.559	  -1.061
   1.564	  -1.058
   1.570	  -1.061
   1.576	  -1.059
   1.582	  -1.063
   1.588	  -1.051
   1.594	  -1.051
   1.600	  -1.052
   1.605	  -1.045
   1.611	  -1.043
   1.617	  -1.047
   1.623	  -1.038
   1.629	  -1.049
   1.635	  -1.039
   1.641	  -1.036
   1.646	  -1.037
   1.652	  -1.029
   1.658	  -1.037
   1.664	  -1.025
   1.670	  -1.035
   1.676	  -1.022
   1.682	  -1.026
   1.688	  -1.020
   1.693	  -1.015
   1.699	  -1.021
   1.705	  -1.011
   1.711	  -1.025
   1.717	  -1.002
   1.723	  -1.022
   1.729	  -1.011
   1.734	  -1.011
   1.740	  -1.010
   1.746	  -1.002
   1.752	  -1.013
   1.758	  -0.999
   1.764	  -1.005
   1.770	  -0.999
   1.775	  -0.994
   1.781	  -0.994
   1.787	  -0.990
   1.793	  -0.994
   1.799	  -0.987
   1.805	  -0.991
   1.811	  -0.994
   1.816	  -0.983
   1.822	  -0.994
   1.828	  -0.975
   1.834	  -0.976
   1.840	  -0.970
   1.846	  -0.969
   1.852	  -0.972
   1.857	  -0.967
   1.863	  -0.974
   1.869	  -0.955
   1.875	  -0.960
   1.881	  -0.948
   1.887	  -0.952
   1.893	  -0.943
   1.898	  -0.948
   1.904	  -0.938
   1.910	  -0.936
   1.916	  -0.939
   1.922	  -0.929
   1.928	  -0.929
   1.934	  -0.920
   1.939	  -0.929
   1.945	  -0.910
   1.951	  -0.924
   1.957	  -0.902
   1.963	  -0.913
   1.969	  -0.902
   1.975	  -0.890
   1.980	  -0.902
   1.986	  -0.885
   1.992	  -0.899
   1.998	  -0.874
   2.004	  -0.886
   2.010	  -0.881
   2.016	  -0.872
   2.021	  -0.876
   2.027	  -0.863
   2.033	  -0.884
   2.039	  -0.859
   2.045	  -0.880
   2.051	  -0.854
   2.057	  -0.852
   2.063	  -0.855
   2.068	  -0.852
   2.074	  -0.850
   2.080	  -0.841
   2.086	  -0.843
   2.092	  -0.840
   2.098	  -0.829
   2.104	  -0.831
   2.109	  -0.819
   2.115	  -0.829
   2.121	  -0.812
   2.127	  -0.824
   2.133	  -0.813
   2.139	  -0.814
   2.145	  -0.814
   2.150	  -0.801
   2.156	  -0.809
   2.162	  -0.795
   2.168	  -0.804
   2.174	  -0.788
   2.180	  -0.796
   2.186	  -0.787
   2.191	  -0.786
   2.197	  -0.779
   2.203	  -0.773
   2.209	  -0.769
   2.215	  -0.772
   2.221	  -0.772
   2.227	  -0.768
   2.232	  -0.759
   2.238	  -0.751
   2.244	  -0.749
   2.250	  -0.748
   2.256	  -0.747
   2.262	  -0.736
   2.268	  -0.747
   2.273	  -0.728
   2.279	  -0.738
   2.285	  -0.722
   2.291	  -0.735
   2.297	  -0.721
   2.303	  -0.716
   2.309	  -0.718
   2.314	  -0.705
   2.320	  -0.717
   2.326	  -0.695
   2.332	  -0.714
   2.338	  -0.688
   2.344	  -0.703
   2.350	  -0.683
   2.355	  -0.700
   2.361	  -0.689
   2.367	  -0.691
   2.373	  -0.688
   2.379	  -0.670
   2.385	  -0.686
   2.391	  -0.661
   2.396	  -0.678
   2.402	  -0.670
   2.408	  -0.671
   2.414	  -0.673
   2.420	  -0.668
   2.426	  -0.669
   2.432	  -0.664
   2.438	  -0.651
   2.443	  -0.654
   2.449	  -0.646
   2.455	  -0.652
   2.461	  -0.651
   2.467	  -0.643
   2.473	  -0.643
   2.479	  -0.632
   2.484	  -0.636
   2.490	  -0.620
   2.496	  -0.633
   2.502	  -0.619
   2.508	  -0.629
   2.514	  -0.613
   2.520	  -0.613
   2.525	  -0.610
   2.531	  -0.598
   2.537	  -0.606
   2.543	  -0.597
   2.549	  -0.602
   2.555	  -0.595
   2.561	  -0.591
   2.566	  -0.577
   2.572	  -0.581
   2.578	  -0.566
   2.584	  -0.568
   2.590	  -0.565
   2.596	  -0.567
   2.602	  -0.560
   2.607	  -0.561
   2.613	  -0.546
   2.619	  -0.541
   2.625	  -0.543
   2.631	  -0.541
   2.637	  -0.531
   2.643	  -0.531
   2.648	  -0.530
   2.654	  -0.526
   2.660	  -0.515
   2.666	  -0.510
   2.672	  -0.506
   2.678	  -0.494
   2.684	  -0.500
   2.689	  -0.480
   2.695	  -0.496
   2.701	  -0.475
   2.707	  -0.484
   2.713	  -0.464
   2.719	  -0.469
   2.725	  -0.469
   2.730	  -0.459
   2.736	  -0.465
   2.742	  -0.442
   2.748	  -0.461
   2.754	  -0.424
   2.760	  -0.439
   2.766	  -0.423
   2.771	  -0.425
   2.777	  -0.422
   2.783	  -0.420
   2.789	  -0.408
   2.795	  -0.403
   2.801	  -0.399
   2.807	  -0.387
   2.813	  -0.390
   2.818	  -0.378
   2.824	  -0.384
   2.830	  -0.376
   2.836	  -0.364
   2.842	  -0.363
   2.848	  -0.356
   2.854	  -0.355
   2.859	  -0.346
   2.865	  -0.355
   2.871	  -0.333
   2.877	  -0.337
   2.883	  -0.326
   2.889	  -0.322
   2.895	  -0.319
   2.900	  -0.312
   2.906	  -0.313
   2.912	  -0.306
   2.918	  -0.312
   2.924	  -0.295
   2.930	  -0.294
   2.936	  -0.281
   2.941	  -0.279
   2.947	  -0.267
   2.953	  -0.271
   2.959	  -0.259
   2.965	  -0.262
   2.971	  -0.249
   2.977	  -0.252
   2.982	  -0.237
