    µm         	 V
   0.000	  -1.079
   0.006	  -1.079
   0.012	  -1.070
   0.018	  -1.073
   0.023	  -1.057
   0.029	  -1.057
   0.035	  -1.050
   0.041	  -1.053
   0.047	  -1.050
   0.053	  -1.061
   0.059	  -1.064
   0.064	  -1.068
   0.070	  -1.081
   0.076	  -1.075
   0.082	  -1.081
   0.088	  -1.079
   0.094	  -1.078
   0.100	  -1.066
   0.105	  -1.062
   0.111	  -1.066
   0.117	  -1.058
   0.123	  -1.061
   0.129	  -1.059
   0.135	  -1.058
   0.141	  -1.063
   0.146	  -1.064
   0.152	  -1.073
   0.158	  -1.070
   0.164	  -1.078
   0.170	  -1.076
   0.176	  -1.082
   0.182	  -1.068
   0.188	  -1.074
   0.193	  -1.069
   0.199	  -1.066
   0.205	  -1.063
   0.211	  -1.064
   0.217	  -1.071
   0.223	  -1.067
   0.229	  -1.076
   0.234	  -1.071
   0.240	  -1.077
   0.246	  -1.066
   0.252	  -1.074
   0.258	  -1.078
   0.264	  -1.072
   0.270	  -1.081
   0.275	  -1.076
   0.281	  -1.075
   0.287	  -1.074
   0.293	  -1.070
   0.299	  -1.064
   0.305	  -1.072
   0.311	  -1.067
   0.316	  -1.077
   0.322	  -1.072
   0.328	  -1.080
   0.334	  -1.078
   0.340	  -1.077
   0.346	  -1.079
   0.352	  -1.074
   0.357	  -1.077
   0.363	  -1.066
   0.369	  -1.081
   0.375	  -1.072
   0.381	  -1.083
   0.387	  -1.081
   0.393	  -1.080
   0.398	  -1.078
   0.404	  -1.065
   0.410	  -1.081
   0.416	  -1.071
   0.422	  -1.086
   0.428	  -1.076
   0.434	  -1.084
   0.439	  -1.079
   0.445	  -1.073
   0.451	  -1.081
   0.457	  -1.074
   0.463	  -1.081
   0.469	  -1.074
   0.475	  -1.083
   0.480	  -1.078
   0.486	  -1.083
   0.492	  -1.087
   0.498	  -1.076
   0.504	  -1.088
   0.510	  -1.078
   0.516	  -1.080
   0.521	  -1.084
   0.527	  -1.088
   0.533	  -1.085
   0.539	  -1.086
   0.545	  -1.081
   0.551	  -1.082
   0.557	  -1.080
   0.562	  -1.087
   0.568	  -1.084
   0.574	  -1.088
   0.580	  -1.081
   0.586	  -1.093
   0.592	  -1.087
   0.598	  -1.086
   0.604	  -1.078
   0.609	  -1.086
   0.615	  -1.085
   0.621	  -1.088
   0.627	  -1.092
   0.633	  -1.084
   0.639	  -1.087
   0.645	  -1.078
   0.650	  -1.083
   0.656	  -1.080
   0.662	  -1.086
   0.668	  -1.090
   0.674	  -1.090
   0.680	  -1.087
   0.686	  -1.076
   0.691	  -1.092
   0.697	  -1.081
   0.703	  -1.090
   0.709	  -1.089
   0.715	  -1.091
   0.721	  -1.095
   0.727	  -1.089
   0.732	  -1.096
   0.738	  -1.089
   0.744	  -1.086
   0.750	  -1.091
   0.756	  -1.089
   0.762	  -1.093
   0.768	  -1.098
   0.773	  -1.099
   0.779	  -1.094
   0.785	  -1.088
   0.791	  -1.092
   0.797	  -1.092
   0.803	  -1.092
   0.809	  -1.098
   0.814	  -1.094
   0.820	  -1.100
   0.826	  -1.095
   0.832	  -1.098
   0.838	  -1.091
   0.844	  -1.092
   0.850	  -1.096
   0.855	  -1.097
   0.861	  -1.102
   0.867	  -1.100
   0.873	  -1.100
   0.879	  -1.099
   0.885	  -1.098
   0.891	  -1.098
   0.896	  -1.095
   0.902	  -1.099
   0.908	  -1.097
   0.914	  -1.100
   0.920	  -1.096
   0.926	  -1.101
   0.932	  -1.101
   0.937	  -1.100
   0.943	  -1.097
   0.949	  -1.102
   0.955	  -1.105
   0.961	  -1.101
   0.967	  -1.103
   0.973	  -1.100
   0.979	  -1.102
   0.984	  -1.104
   0.990	  -1.096
   0.996	  -1.101
   1.002	  -1.097
   1.008	  -1.104
   1.014	  -1.103
   1.020	  -1.104
   1.025	  -1.099
   1.031	  -1.108
   1.037	  -1.098
   1.043	  -1.104
   1.049	  -1.109
   1.055	  -1.107
   1.061	  -1.110
   1.066	  -1.101
   1.072	  -1.110
   1.078	  -1.099
   1.084	  -1.100
   1.090	  -1.106
   1.096	  -1.099
   1.102	  -1.114
   1.107	  -1.105
   1.113	  -1.111
   1.119	  -1.104
   1.125	  -1.107
   1.131	  -1.099
   1.137	  -1.102
   1.143	  -1.108
   1.148	  -1.106
   1.154	  -1.112
   1.160	  -1.105
   1.166	  -1.102
   1.172	  -1.102
   1.178	  -1.103
   1.184	  -1.110
   1.189	  -1.103
   1.195	  -1.108
   1.201	  -1.110
   1.207	  -1.114
   1.213	  -1.110
   1.219	  -1.108
   1.225	  -1.105
   1.230	  -1.109
   1.236	  -1.106
   1.242	  -1.112
   1.248	  -1.108
   1.254	  -1.106
   1.260	  -1.108
   1.266	  -1.108
   1.271	  -1.102
   1.277	  -1.110
   1.283	  -1.113
   1.289	  -1.114
   1.295	  -1.112
   1.301	  -1.105
   1.307	  -1.111
   1.313	  -1.107
   1.318	  -1.109
