    µm         	 V
   0.000	  -0.503
   0.006	  -0.478
   0.012	  -0.470
   0.018	  -0.471
   0.023	  -0.469
   0.029	  -0.473
   0.035	  -0.459
   0.041	  -0.461
   0.047	  -0.451
   0.053	  -0.455
   0.059	  -0.465
   0.064	  -0.451
   0.070	  -0.476
   0.076	  -0.450
   0.082	  -0.458
   0.088	  -0.438
   0.094	  -0.452
   0.100	  -0.426
   0.105	  -0.435
   0.111	  -0.422
   0.117	  -0.438
   0.123	  -0.438
   0.129	  -0.440
   0.135	  -0.450
   0.141	  -0.424
   0.146	  -0.432
   0.152	  -0.424
   0.158	  -0.431
   0.164	  -0.428
   0.170	  -0.423
   0.176	  -0.427
   0.182	  -0.415
   0.188	  -0.433
   0.193	  -0.417
   0.199	  -0.433
   0.205	  -0.400
   0.211	  -0.429
   0.217	  -0.402
   0.223	  -0.414
   0.229	  -0.414
   0.234	  -0.405
   0.240	  -0.419
   0.246	  -0.392
   0.252	  -0.432
   0.258	  -0.386
   0.264	  -0.426
   0.270	  -0.408
   0.275	  -0.420
   0.281	  -0.410
   0.287	  -0.404
   0.293	  -0.421
   0.299	  -0.409
   0.305	  -0.420
   0.311	  -0.406
   0.316	  -0.410
   0.322	  -0.406
   0.328	  -0.402
   0.334	  -0.406
   0.340	  -0.402
   0.346	  -0.394
   0.352	  -0.410
   0.357	  -0.399
   0.363	  -0.403
   0.369	  -0.400
   0.375	  -0.410
   0.381	  -0.391
   0.387	  -0.392
   0.393	  -0.407
   0.398	  -0.386
   0.404	  -0.411
   0.410	  -0.382
   0.416	  -0.414
   0.422	  -0.381
   0.428	  -0.402
   0.434	  -0.395
   0.439	  -0.396
   0.445	  -0.399
   0.451	  -0.380
   0.457	  -0.406
   0.463	  -0.384
   0.469	  -0.403
   0.475	  -0.399
   0.480	  -0.391
   0.486	  -0.403
   0.492	  -0.393
   0.498	  -0.412
   0.504	  -0.386
   0.510	  -0.394
   0.516	  -0.394
   0.521	  -0.394
   0.527	  -0.399
   0.533	  -0.398
   0.539	  -0.401
   0.545	  -0.384
   0.551	  -0.397
   0.557	  -0.392
   0.562	  -0.395
   0.568	  -0.396
   0.574	  -0.396
   0.580	  -0.395
   0.586	  -0.395
   0.592	  -0.399
   0.598	  -0.386
   0.604	  -0.393
   0.609	  -0.393
   0.615	  -0.402
   0.621	  -0.397
   0.627	  -0.397
   0.633	  -0.406
   0.639	  -0.393
   0.645	  -0.405
   0.650	  -0.387
   0.656	  -0.414
   0.662	  -0.400
   0.668	  -0.410
   0.674	  -0.401
   0.680	  -0.395
   0.686	  -0.396
   0.691	  -0.393
   0.697	  -0.419
   0.703	  -0.386
   0.709	  -0.408
   0.715	  -0.396
   0.721	  -0.403
   0.727	  -0.398
   0.732	  -0.408
   0.738	  -0.404
   0.744	  -0.397
   0.750	  -0.399
   0.756	  -0.405
   0.762	  -0.403
   0.768	  -0.404
   0.773	  -0.407
   0.779	  -0.406
   0.785	  -0.414
   0.791	  -0.396
   0.797	  -0.420
   0.803	  -0.389
   0.809	  -0.411
   0.814	  -0.397
   0.820	  -0.413
   0.826	  -0.405
   0.832	  -0.403
   0.838	  -0.419
   0.844	  -0.391
   0.850	  -0.417
   0.855	  -0.391
   0.861	  -0.424
   0.867	  -0.407
   0.873	  -0.418
   0.879	  -0.410
   0.885	  -0.405
   0.891	  -0.426
   0.896	  -0.402
   0.902	  -0.426
   0.908	  -0.394
   0.914	  -0.424
   0.920	  -0.397
   0.926	  -0.420
   0.932	  -0.411
   0.937	  -0.409
