    µm         	 V
   0.943	  -0.411
   0.949	  -0.401
   0.955	  -0.429
   0.961	  -0.399
   0.967	  -0.420
   0.973	  -0.419
   0.979	  -0.431
   0.984	  -0.421
   0.990	  -0.408
   0.996	  -0.428
   1.002	  -0.415
   1.008	  -0.416
   1.014	  -0.420
   1.020	  -0.417
   1.025	  -0.420
   1.031	  -0.413
   1.037	  -0.427
   1.043	  -0.413
   1.049	  -0.410
   1.055	  -0.432
   1.061	  -0.412
   1.066	  -0.435
   1.072	  -0.410
   1.078	  -0.432
   1.084	  -0.412
   1.090	  -0.417
   1.096	  -0.424
   1.102	  -0.406
   1.107	  -0.423
   1.113	  -0.405
   1.119	  -0.431
   1.125	  -0.396
   1.131	  -0.429
   1.137	  -0.419
   1.143	  -0.418
   1.148	  -0.417
   1.154	  -0.406
   1.160	  -0.420
   1.166	  -0.397
   1.172	  -0.421
   1.178	  -0.405
   1.184	  -0.419
   1.189	  -0.425
   1.195	  -0.411
   1.201	  -0.435
   1.207	  -0.405
   1.213	  -0.426
   1.219	  -0.402
   1.225	  -0.419
   1.230	  -0.404
   1.236	  -0.410
   1.242	  -0.415
   1.248	  -0.391
   1.254	  -0.426
   1.260	  -0.405
   1.266	  -0.434
   1.271	  -0.407
   1.277	  -0.415
   1.283	  -0.414
   1.289	  -0.407
   1.295	  -0.432
   1.301	  -0.404
   1.307	  -0.422
   1.313	  -0.410
   1.318	  -0.423
   1.324	  -0.403
   1.330	  -0.405
   1.336	  -0.412
   1.342	  -0.410
   1.348	  -0.412
   1.354	  -0.407
   1.359	  -0.405
   1.365	  -0.406
   1.371	  -0.406
   1.377	  -0.415
   1.383	  -0.406
   1.389	  -0.395
   1.395	  -0.417
   1.400	  -0.398
   1.406	  -0.415
   1.412	  -0.399
   1.418	  -0.404
   1.424	  -0.396
   1.430	  -0.408
   1.436	  -0.407
   1.441	  -0.403
   1.447	  -0.402
   1.453	  -0.393
   1.459	  -0.413
   1.465	  -0.396
   1.471	  -0.396
   1.477	  -0.394
   1.482	  -0.403
   1.488	  -0.396
   1.494	  -0.398
   1.500	  -0.394
   1.506	  -0.397
   1.512	  -0.403
   1.518	  -0.395
   1.523	  -0.405
   1.529	  -0.383
   1.535	  -0.406
   1.541	  -0.392
   1.547	  -0.393
   1.553	  -0.387
   1.559	  -0.389
   1.564	  -0.398
   1.570	  -0.378
   1.576	  -0.392
   1.582	  -0.377
   1.588	  -0.384
   1.594	  -0.389
   1.600	  -0.385
   1.605	  -0.395
   1.611	  -0.366
   1.617	  -0.399
   1.623	  -0.375
   1.629	  -0.378
   1.635	  -0.384
   1.641	  -0.381
   1.646	  -0.377
   1.652	  -0.363
   1.658	  -0.383
   1.664	  -0.369
   1.670	  -0.373
   1.676	  -0.386
   1.682	  -0.358
   1.688	  -0.382
   1.693	  -0.364
   1.699	  -0.380
   1.705	  -0.368
   1.711	  -0.359
   1.717	  -0.380
   1.723	  -0.348
   1.729	  -0.371
   1.734	  -0.352
   1.740	  -0.380
   1.746	  -0.362
   1.752	  -0.358
   1.758	  -0.375
   1.764	  -0.350
   1.770	  -0.369
   1.775	  -0.346
   1.781	  -0.372
   1.787	  -0.340
   1.793	  -0.362
   1.799	  -0.358
   1.805	  -0.363
   1.811	  -0.349
   1.816	  -0.350
   1.822	  -0.350
   1.828	  -0.347
   1.834	  -0.368
   1.840	  -0.340
   1.846	  -0.355
   1.852	  -0.326
   1.857	  -0.351
   1.863	  -0.332
   1.869	  -0.340
   1.875	  -0.343
   1.881	  -0.330
   1.887	  -0.344
   1.893	  -0.309
   1.898	  -0.359
   1.904	  -0.319
   1.910	  -0.354
   1.916	  -0.327
   1.922	  -0.325
   1.928	  -0.325
   1.934	  -0.326
   1.939	  -0.342
   1.945	  -0.316
   1.951	  -0.328
   1.957	  -0.325
   1.963	  -0.327
   1.969	  -0.325
   1.975	  -0.317
   1.980	  -0.313
   1.986	  -0.310
   1.992	  -0.318
   1.998	  -0.324
   2.004	  -0.298
   2.010	  -0.297
   2.016	  -0.305
   2.021	  -0.305
   2.027	  -0.303
   2.033	  -0.299
   2.039	  -0.318
   2.045	  -0.289
   2.051	  -0.291
   2.057	  -0.294
   2.063	  -0.288
   2.068	  -0.297
   2.074	  -0.279
   2.080	  -0.296
   2.086	  -0.273
   2.092	  -0.278
   2.098	  -0.292
   2.104	  -0.282
   2.109	  -0.297
   2.115	  -0.264
   2.121	  -0.285
   2.127	  -0.263
   2.133	  -0.294
   2.139	  -0.269
   2.145	  -0.262
   2.150	  -0.271
   2.156	  -0.269
   2.162	  -0.284
   2.168	  -0.263
   2.174	  -0.275
   2.180	  -0.254
   2.186	  -0.262
   2.191	  -0.246
   2.197	  -0.262
   2.203	  -0.248
   2.209	  -0.238
   2.215	  -0.251
   2.221	  -0.242
   2.227	  -0.249
   2.232	  -0.236
   2.238	  -0.263
   2.244	  -0.238
   2.250	  -0.241
   2.256	  -0.232
   2.262	  -0.227
   2.268	  -0.244
   2.273	  -0.236
   2.279	  -0.240
   2.285	  -0.219
   2.291	  -0.222
   2.297	  -0.225
   2.303	  -0.230
   2.309	  -0.229
   2.314	  -0.209
   2.320	  -0.213
   2.326	  -0.205
   2.332	  -0.223
   2.338	  -0.232
   2.344	  -0.203
   2.350	  -0.218
   2.355	  -0.194
   2.361	  -0.213
   2.367	  -0.194
   2.373	  -0.199
   2.379	  -0.211
   2.385	  -0.186
   2.391	  -0.210
   2.396	  -0.184
   2.402	  -0.208
   2.408	  -0.173
   2.414	  -0.190
   2.420	  -0.191
   2.426	  -0.169
   2.432	  -0.195
   2.438	  -0.168
   2.443	  -0.199
   2.449	  -0.153
   2.455	  -0.183
   2.461	  -0.170
   2.467	  -0.183
   2.473	  -0.173
   2.479	  -0.175
   2.484	  -0.170
   2.490	  -0.154
   2.496	  -0.167
   2.502	  -0.154
   2.508	  -0.167
   2.514	  -0.141
   2.520	  -0.162
   2.525	  -0.150
   2.531	  -0.154
   2.537	  -0.156
   2.543	  -0.149
   2.549	  -0.152
   2.555	  -0.136
   2.561	  -0.156
   2.566	  -0.126
   2.572	  -0.143
   2.578	  -0.129
   2.584	  -0.125
   2.590	  -0.114
   2.596	  -0.112
   2.602	  -0.139
   2.607	  -0.114
   2.613	  -0.126
   2.619	  -0.110
   2.625	  -0.111
   2.631	  -0.105
   2.637	  -0.105
   2.643	  -0.115
   2.648	  -0.100
   2.654	  -0.099
   2.660	  -0.101
   2.666	  -0.096
   2.672	  -0.101
   2.678	  -0.093
   2.684	  -0.081
   2.689	  -0.081
   2.695	  -0.064
   2.701	  -0.091
   2.707	  -0.055
   2.713	  -0.079
   2.719	  -0.055
   2.725	  -0.064
   2.730	  -0.040
   2.736	  -0.045
   2.742	  -0.056
   2.748	  -0.027
   2.754	  -0.057
   2.760	  -0.040
   2.766	  -0.051
   2.771	  -0.032
   2.777	  -0.037
   2.783	  -0.032
   2.789	  -0.012
   2.795	  -0.025
   2.801	  -0.011
   2.807	  -0.028
   2.813	   0.002
   2.818	  -0.013
   2.824	   0.000
   2.830	   0.004
   2.836	  -0.004
   2.842	   0.010
   2.848	   0.002
   2.854	   0.032
   2.859	   0.011
   2.865	   0.026
   2.871	   0.028
   2.877	   0.030
   2.883	   0.046
   2.889	   0.057
   2.895	   0.057
   2.900	   0.051
   2.906	   0.064
   2.912	   0.070
   2.918	   0.082
   2.924	   0.072
   2.930	   0.081
   2.936	   0.079
   2.941	   0.086
   2.947	   0.098
   2.953	   0.090
   2.959	   0.119
   2.965	   0.108
   2.971	   0.140
   2.977	   0.118
   2.982	   0.152
