    µm         	mV
   0.000	-297.000
   0.006	-263.250
   0.012	-276.750
   0.018	-278.250
   0.023	-296.625
   0.029	-258.000
   0.035	-255.000
   0.041	-245.250
   0.047	-254.250
   0.053	-258.750
   0.059	-259.125
   0.064	-273.750
   0.070	-266.250
   0.076	-266.625
   0.082	-262.500
   0.088	-276.750
   0.094	-269.625
   0.100	-246.000
   0.105	-246.375
   0.111	-240.750
   0.117	-252.375
   0.123	-252.750
   0.129	-274.875
   0.135	-261.375
   0.141	-270.000
   0.146	-264.000
   0.152	-251.625
   0.158	-257.250
   0.164	-252.375
   0.170	-259.875
   0.176	-241.500
   0.182	-266.625
   0.188	-248.250
   0.193	-252.375
   0.199	-266.250
   0.205	-269.250
   0.211	-264.375
   0.217	-252.750
   0.223	-260.250
   0.229	-256.125
   0.234	-249.375
   0.240	-255.000
   0.246	-253.125
   0.252	-253.125
   0.258	-260.250
   0.264	-261.750
   0.270	-264.750
   0.275	-247.875
   0.281	-262.125
   0.287	-253.500
   0.293	-261.750
   0.299	-248.625
   0.305	-259.500
   0.311	-265.125
   0.316	-254.250
   0.322	-267.000
   0.328	-242.625
   0.334	-273.000
   0.340	-250.500
   0.346	-271.500
   0.352	-244.125
   0.357	-253.125
   0.363	-263.250
   0.369	-255.750
   0.375	-259.500
   0.381	-236.250
   0.387	-267.750
   0.393	-242.625
   0.398	-265.875
   0.404	-253.125
   0.410	-253.500
   0.416	-248.250
   0.422	-247.125
   0.428	-273.750
   0.434	-241.125
   0.439	-261.000
   0.445	-241.875
   0.451	-264.375
   0.457	-249.750
   0.463	-254.250
   0.469	-246.000
   0.475	-250.875
   0.480	-260.250
   0.486	-244.500
   0.492	-245.250
   0.498	-237.750
   0.504	-257.250
   0.510	-253.125
   0.516	-252.000
   0.521	-240.750
   0.527	-251.250
   0.533	-250.875
   0.539	-248.250
   0.545	-242.250
   0.551	-240.750
   0.557	-251.625
   0.562	-249.375
   0.568	-262.500
   0.574	-242.250
   0.580	-252.375
   0.586	-242.250
   0.592	-257.625
   0.598	-247.875
   0.604	-259.125
   0.609	-249.750
   0.615	-245.625
   0.621	-258.375
   0.627	-241.125
   0.633	-253.500
   0.639	-232.875
   0.645	-273.000
   0.650	-238.875
   0.656	-249.375
   0.662	-239.625
   0.668	-259.125
   0.674	-244.500
   0.680	-240.375
   0.686	-253.125
   0.691	-232.500
   0.697	-253.875
   0.703	-237.000
   0.709	-268.125
   0.715	-237.750
   0.721	-237.375
   0.727	-246.750
   0.732	-239.625
   0.738	-255.000
   0.744	-237.750
   0.750	-253.500
   0.756	-235.125
   0.762	-255.375
   0.768	-245.250
   0.773	-246.000
   0.779	-240.000
   0.785	-251.250
   0.791	-243.000
   0.797	-240.000
   0.803	-238.875
   0.809	-233.625
   0.814	-238.125
   0.820	-242.250
   0.826	-244.125
   0.832	-247.125
   0.838	-233.625
   0.844	-243.750
   0.850	-253.875
   0.855	-240.750
   0.861	-243.375
   0.867	-234.375
   0.873	-255.750
   0.879	-240.000
   0.885	-238.875
   0.891	-225.750
   0.896	-225.000
   0.902	-246.750
   0.908	-228.375
   0.914	-238.500
   0.920	-224.625
   0.926	-250.875
   0.932	-228.000
   0.937	-245.250
   0.943	-222.750
   0.949	-235.125
   0.955	-238.500
   0.961	-229.875
   0.967	-243.000
   0.973	-221.625
   0.979	-237.000
   0.984	-237.375
   0.990	-248.250
   0.996	-233.625
   1.002	-217.875
   1.008	-242.250
   1.014	-222.750
   1.020	-237.750
   1.025	-214.875
   1.031	-236.625
   1.037	-228.750
   1.043	-233.625
   1.049	-227.625
   1.055	-216.375
   1.061	-231.375
   1.066	-229.500
   1.072	-236.250
   1.078	-219.375
   1.084	-226.875
   1.090	-225.000
   1.096	-228.375
   1.102	-222.375
   1.107	-234.375
   1.113	-222.000
   1.119	-219.375
   1.125	-221.625
   1.131	-220.125
   1.137	-229.875
   1.143	-211.125
   1.148	-228.750
   1.154	-219.375
   1.160	-235.875
   1.166	-221.625
   1.172	-221.625
   1.178	-211.500
   1.184	-210.000
   1.189	-222.000
   1.195	-201.375
   1.201	-232.125
   1.207	-209.625
   1.213	-228.000
   1.219	-208.125
   1.225	-208.500
   1.230	-224.250
   1.236	-198.750
   1.242	-229.125
   1.248	-202.500
   1.254	-215.625
   1.260	-203.625
   1.266	-231.000
   1.271	-215.250
   1.277	-196.875
   1.283	-213.000
   1.289	-197.250
   1.295	-226.125
   1.301	-198.750
   1.307	-215.250
   1.313	-193.500
   1.318	-213.750
   1.324	-220.125
   1.330	-225.375
   1.336	-231.375
   1.342	-203.250
   1.348	-229.125
   1.354	-205.875
   1.359	-224.250
   1.365	-210.750
   1.371	-226.500
   1.377	-217.125
   1.383	-213.000
   1.389	-209.625
   1.395	-205.500
   1.400	-210.375
   1.406	-213.750
   1.412	-208.500
   1.418	-198.375
   1.424	-200.625
   1.430	-199.500
   1.436	-211.125
   1.441	-209.250
   1.447	-210.750
   1.453	-202.125
   1.459	-195.000
   1.465	-216.750
   1.471	-208.125
   1.477	-205.875
   1.482	-194.625
   1.488	-205.500
   1.494	-206.250
   1.500	-197.250
   1.506	-209.625
   1.512	-192.000
   1.518	-199.875
   1.523	-196.500
   1.529	-200.625
   1.535	-193.500
   1.541	-181.125
   1.547	-205.875
   1.553	-189.375
   1.559	-189.000
   1.564	-178.875
   1.570	-192.000
   1.576	-191.625
   1.582	-181.125
   1.588	-198.750
   1.594	-172.500
   1.600	-195.375
   1.605	-186.750
   1.611	-199.500
   1.617	-172.875
   1.623	-175.125
   1.629	-187.875
   1.635	-178.875
   1.641	-184.875
   1.646	-163.125
   1.652	-186.750
   1.658	-171.750
   1.664	-191.625
   1.670	-171.375
   1.676	-182.250
   1.682	-174.375
   1.688	-169.500
   1.693	-181.875
   1.699	-165.750
   1.705	-184.500
   1.711	-160.125
   1.717	-167.625
   1.723	-165.375
   1.729	-167.250
   1.734	-164.625
   1.740	-153.750
   1.746	-181.125
   1.752	-160.125
   1.758	-161.250
   1.764	-149.250
   1.770	-178.125
   1.775	-169.875
   1.781	-151.875
   1.787	-160.500
   1.793	-156.750
   1.799	-152.625
   1.805	-157.875
   1.811	-161.250
   1.816	-150.750
   1.822	-134.625
   1.828	-144.750
   1.834	-156.750
   1.840	-157.875
   1.846	-147.000
   1.852	-134.625
   1.857	-141.375
   1.863	-146.625
   1.869	-151.500
   1.875	-145.875
   1.881	-133.875
   1.887	-144.750
   1.893	-136.125
   1.898	-134.625
   1.904	-140.625
   1.910	-133.875
   1.916	-141.750
   1.922	-129.750
   1.928	-132.375
   1.934	-113.625
   1.939	-122.625
   1.945	-126.750
   1.951	-122.250
   1.957	-126.375
   1.963	 -99.000
   1.969	-139.875
   1.975	-105.375
   1.980	-122.250
   1.986	 -96.000
   1.992	-115.875
   1.998	-119.625
   2.004	 -96.750
   2.010	-123.750
   2.016	 -84.375
   2.021	-111.375
   2.027	 -85.500
   2.033	-114.375
   2.039	 -85.125
   2.045	 -88.500
   2.051	 -90.000
   2.057	 -90.375
   2.063	 -92.625
   2.068	 -81.000
   2.074	 -85.500
   2.080	 -70.125
   2.086	 -91.125
   2.092	 -71.250
   2.098	 -77.250
   2.104	 -65.250
   2.109	 -89.250
   2.115	 -60.000
   2.121	 -78.000
   2.127	 -64.500
   2.133	 -69.375
   2.139	 -61.125
   2.145	 -66.375
   2.150	 -64.125
   2.156	 -35.625
   2.162	 -40.125
   2.168	 -54.375
   2.174	 -59.250
   2.180	 -28.125
   2.186	 -42.000
   2.191	 -42.000
   2.197	 -39.750
   2.203	 -22.875
   2.209	 -30.000
   2.215	 -28.500
   2.221	 -10.125
   2.227	 -16.875
   2.232	 -11.625
   2.238	 -27.375
   2.244	  -1.500
   2.250	 -20.625
   2.256	  -5.625
   2.262	 -25.125
   2.268	  -3.375
   2.273	  -6.750
   2.279	 -13.500
   2.285	  -1.125
   2.291	 -12.750
   2.297	  18.375
   2.303	   3.750
   2.309	   7.500
   2.314	   7.125
   2.320	  33.375
   2.326	  22.500
   2.332	  23.250
   2.338	  31.125
   2.344	  30.750
   2.350	  46.875
   2.355	  51.375
   2.361	  61.500
   2.367	  47.250
   2.373	  54.000
   2.379	  67.500
   2.385	  76.500
   2.391	  44.625
   2.396	  57.750
   2.402	  59.250
   2.408	  73.875
   2.414	  65.250
   2.420	  74.250
   2.426	  69.000
   2.432	  67.500
   2.438	 109.125
   2.443	  84.375
   2.449	  85.500
   2.455	  74.250
   2.461	 110.625
   2.467	 102.750
   2.473	  97.125
   2.479	  94.875
   2.484	  98.250
   2.490	 131.625
   2.496	 108.000
   2.502	 125.625
   2.508	  96.000
   2.514	 122.250
   2.520	 120.750
   2.525	 135.750
   2.531	 124.875
   2.537	 120.750
   2.543	 136.125
   2.549	 124.875
   2.555	 157.500
   2.561	 127.875
   2.566	 139.500
   2.572	 127.125
   2.578	 167.250
   2.584	 152.625
   2.590	 132.000
   2.596	 147.000
   2.602	 159.000
   2.607	 171.750
   2.613	 142.875
   2.619	 167.625
   2.625	 173.625
   2.631	 180.000
   2.637	 169.500
   2.643	 189.000
   2.648	 183.750
   2.654	 185.250
   2.660	 202.500
   2.666	 196.500
   2.672	 198.375
   2.678	 191.625
   2.684	 227.250
   2.689	 222.375
   2.695	 242.625
   2.701	 214.875
   2.707	 227.625
   2.713	 230.625
   2.719	 257.250
   2.725	 249.000
   2.730	 246.375
   2.736	 257.625
   2.742	 261.000
   2.748	 277.125
   2.754	 258.375
   2.760	 286.875
   2.766	 266.250
   2.771	 283.875
   2.777	 278.625
   2.783	 303.375
   2.789	 286.125
   2.795	 297.375
   2.801	 321.000
   2.807	 310.500
   2.813	 317.250
   2.818	 314.250
   2.824	 336.750
   2.830	 334.125
   2.836	 337.875
   2.842	 338.250
   2.848	 347.250
   2.854	 357.000
   2.859	 349.875
   2.865	 354.375
   2.871	 349.875
   2.877	 342.000
   2.883	 360.375
   2.889	 362.250
   2.895	 378.375
   2.900	 378.000
   2.906	 383.250
   2.912	 383.250
   2.918	 411.750
   2.924	 412.125
   2.930	 397.875
   2.936	 420.750
   2.941	 431.250
   2.947	 448.500
   2.953	 427.500
   2.959	 464.250
   2.965	 459.000
   2.971	 482.250
   2.977	 472.875
   2.982	 500.625
