    µm         	 V
   0.738	  -1.267
   0.744	  -1.253
   0.750	  -1.256
   0.756	  -1.270
   0.762	  -1.262
   0.768	  -1.254
   0.773	  -1.258
   0.779	  -1.268
   0.785	  -1.257
   0.791	  -1.250
   0.797	  -1.255
   0.803	  -1.258
   0.809	  -1.257
   0.814	  -1.242
   0.820	  -1.253
   0.826	  -1.249
   0.832	  -1.246
   0.838	  -1.247
   0.844	  -1.248
   0.850	  -1.248
   0.855	  -1.239
   0.861	  -1.246
   0.867	  -1.242
   0.873	  -1.248
   0.879	  -1.230
   0.885	  -1.245
   0.891	  -1.238
   0.896	  -1.239
   0.902	  -1.230
   0.908	  -1.232
   0.914	  -1.247
   0.920	  -1.235
   0.926	  -1.236
   0.932	  -1.237
   0.937	  -1.248
   0.943	  -1.232
   0.949	  -1.229
   0.955	  -1.239
   0.961	  -1.240
   0.967	  -1.239
   0.973	  -1.232
   0.979	  -1.233
   0.984	  -1.237
   0.990	  -1.229
   0.996	  -1.232
   1.002	  -1.232
   1.008	  -1.236
   1.014	  -1.224
   1.020	  -1.230
   1.025	  -1.240
   1.031	  -1.227
   1.037	  -1.231
   1.043	  -1.223
   1.049	  -1.239
   1.055	  -1.228
   1.061	  -1.222
   1.066	  -1.234
   1.072	  -1.222
   1.078	  -1.236
   1.084	  -1.221
   1.090	  -1.236
   1.096	  -1.246
   1.102	  -1.226
   1.107	  -1.236
   1.113	  -1.232
   1.119	  -1.237
   1.125	  -1.227
   1.131	  -1.227
   1.137	  -1.244
   1.143	  -1.228
   1.148	  -1.230
   1.154	  -1.240
   1.160	  -1.237
   1.166	  -1.233
   1.172	  -1.222
   1.178	  -1.237
   1.184	  -1.229
   1.189	  -1.221
   1.195	  -1.230
   1.201	  -1.236
   1.207	  -1.231
   1.213	  -1.227
   1.219	  -1.228
   1.225	  -1.237
   1.230	  -1.232
   1.236	  -1.229
   1.242	  -1.233
   1.248	  -1.244
   1.254	  -1.238
   1.260	  -1.217
   1.266	  -1.241
   1.271	  -1.236
   1.277	  -1.230
   1.283	  -1.226
   1.289	  -1.231
   1.295	  -1.236
   1.301	  -1.220
   1.307	  -1.233
   1.313	  -1.227
   1.318	  -1.236
   1.324	  -1.226
   1.330	  -1.229
   1.336	  -1.233
   1.342	  -1.232
   1.348	  -1.225
   1.354	  -1.240
   1.359	  -1.227
   1.365	  -1.236
   1.371	  -1.212
   1.377	  -1.235
   1.383	  -1.224
   1.389	  -1.208
   1.395	  -1.226
   1.400	  -1.225
   1.406	  -1.239
   1.412	  -1.206
   1.418	  -1.229
   1.424	  -1.226
   1.430	  -1.220
   1.436	  -1.228
   1.441	  -1.217
   1.447	  -1.240
   1.453	  -1.204
   1.459	  -1.228
   1.465	  -1.221
   1.471	  -1.223
   1.477	  -1.224
   1.482	  -1.204
   1.488	  -1.228
   1.494	  -1.209
   1.500	  -1.216
   1.506	  -1.212
   1.512	  -1.207
   1.518	  -1.213
   1.523	  -1.197
   1.529	  -1.212
   1.535	  -1.205
   1.541	  -1.217
   1.547	  -1.204
   1.553	  -1.210
   1.559	  -1.211
   1.564	  -1.200
   1.570	  -1.202
   1.576	  -1.204
   1.582	  -1.214
   1.588	  -1.202
   1.594	  -1.194
   1.600	  -1.204
   1.605	  -1.194
   1.611	  -1.192
   1.617	  -1.195
   1.623	  -1.202
   1.629	  -1.199
   1.635	  -1.196
   1.641	  -1.201
   1.646	  -1.203
   1.652	  -1.203
   1.658	  -1.198
   1.664	  -1.191
   1.670	  -1.196
   1.676	  -1.182
   1.682	  -1.181
   1.688	  -1.182
   1.693	  -1.191
   1.699	  -1.186
   1.705	  -1.174
   1.711	  -1.184
   1.717	  -1.189
   1.723	  -1.173
   1.729	  -1.179
   1.734	  -1.179
   1.740	  -1.181
   1.746	  -1.175
   1.752	  -1.174
   1.758	  -1.183
   1.764	  -1.162
   1.770	  -1.170
   1.775	  -1.167
   1.781	  -1.174
   1.787	  -1.169
   1.793	  -1.159
   1.799	  -1.170
   1.805	  -1.163
   1.811	  -1.162
   1.816	  -1.156
   1.822	  -1.162
   1.828	  -1.164
   1.834	  -1.148
   1.840	  -1.152
   1.846	  -1.155
   1.852	  -1.150
   1.857	  -1.143
   1.863	  -1.136
   1.869	  -1.152
   1.875	  -1.143
   1.881	  -1.146
   1.887	  -1.147
   1.893	  -1.149
   1.898	  -1.145
   1.904	  -1.127
   1.910	  -1.145
   1.916	  -1.136
   1.922	  -1.125
   1.928	  -1.125
   1.934	  -1.135
   1.939	  -1.138
   1.945	  -1.118
   1.951	  -1.120
   1.957	  -1.130
   1.963	  -1.124
   1.969	  -1.110
   1.975	  -1.108
   1.980	  -1.126
   1.986	  -1.113
   1.992	  -1.108
   1.998	  -1.105
   2.004	  -1.118
   2.010	  -1.095
   2.016	  -1.094
   2.021	  -1.098
   2.027	  -1.104
   2.033	  -1.109
   2.039	  -1.084
   2.045	  -1.100
   2.051	  -1.097
   2.057	  -1.100
   2.063	  -1.084
   2.068	  -1.089
   2.074	  -1.090
   2.080	  -1.080
   2.086	  -1.079
   2.092	  -1.086
   2.098	  -1.089
   2.104	  -1.077
   2.109	  -1.077
   2.115	  -1.075
   2.121	  -1.085
   2.127	  -1.066
   2.133	  -1.069
   2.139	  -1.076
   2.145	  -1.071
   2.150	  -1.068
   2.156	  -1.061
   2.162	  -1.080
   2.168	  -1.056
   2.174	  -1.064
   2.180	  -1.064
   2.186	  -1.065
   2.191	  -1.059
   2.197	  -1.052
   2.203	  -1.066
   2.209	  -1.054
   2.215	  -1.049
   2.221	  -1.043
   2.227	  -1.044
   2.232	  -1.053
   2.238	  -1.033
   2.244	  -1.047
   2.250	  -1.046
   2.256	  -1.035
   2.262	  -1.034
   2.268	  -1.033
   2.273	  -1.036
   2.279	  -1.021
   2.285	  -1.018
   2.291	  -1.012
   2.297	  -1.024
   2.303	  -1.026
   2.309	  -1.004
   2.314	  -1.012
   2.320	  -0.999
   2.326	  -1.001
   2.332	  -0.990
   2.338	  -0.998
   2.344	  -1.002
   2.350	  -0.983
   2.355	  -0.992
   2.361	  -0.982
   2.367	  -1.003
   2.373	  -0.969
   2.379	  -0.976
   2.385	  -0.977
   2.391	  -0.972
   2.396	  -0.979
   2.402	  -0.945
   2.408	  -0.970
   2.414	  -0.956
   2.420	  -0.959
   2.426	  -0.950
   2.432	  -0.944
   2.438	  -0.963
   2.443	  -0.934
   2.449	  -0.948
   2.455	  -0.938
   2.461	  -0.942
   2.467	  -0.928
   2.473	  -0.919
   2.479	  -0.943
   2.484	  -0.919
   2.490	  -0.919
   2.496	  -0.922
   2.502	  -0.913
   2.508	  -0.919
   2.514	  -0.893
   2.520	  -0.895
   2.525	  -0.914
   2.531	  -0.897
   2.537	  -0.907
   2.543	  -0.887
   2.549	  -0.900
   2.555	  -0.896
   2.561	  -0.874
   2.566	  -0.896
   2.572	  -0.873
   2.578	  -0.893
   2.584	  -0.864
   2.590	  -0.871
   2.596	  -0.870
   2.602	  -0.854
   2.607	  -0.863
   2.613	  -0.852
   2.619	  -0.871
   2.625	  -0.849
   2.631	  -0.849
   2.637	  -0.849
   2.643	  -0.840
   2.648	  -0.846
   2.654	  -0.823
   2.660	  -0.845
   2.666	  -0.833
   2.672	  -0.812
   2.678	  -0.824
   2.684	  -0.803
   2.689	  -0.826
   2.695	  -0.799
   2.701	  -0.808
   2.707	  -0.817
   2.713	  -0.795
   2.719	  -0.793
   2.725	  -0.774
   2.730	  -0.804
   2.736	  -0.769
   2.742	  -0.779
   2.748	  -0.780
   2.754	  -0.782
   2.760	  -0.767
   2.766	  -0.760
   2.771	  -0.778
   2.777	  -0.754
   2.783	  -0.762
   2.789	  -0.752
   2.795	  -0.763
   2.801	  -0.753
   2.807	  -0.734
   2.813	  -0.736
   2.818	  -0.730
   2.824	  -0.729
   2.830	  -0.707
   2.836	  -0.715
   2.842	  -0.709
   2.848	  -0.708
   2.854	  -0.689
   2.859	  -0.692
   2.865	  -0.693
   2.871	  -0.675
   2.877	  -0.674
   2.883	  -0.673
   2.889	  -0.672
   2.895	  -0.664
   2.900	  -0.665
   2.906	  -0.668
   2.912	  -0.649
   2.918	  -0.645
   2.924	  -0.633
   2.930	  -0.645
   2.936	  -0.628
   2.941	  -0.621
   2.947	  -0.620
   2.953	  -0.615
   2.959	  -0.608
   2.965	  -0.597
   2.971	  -0.606
   2.977	  -0.602
   2.982	  -0.591
