    µm         	 V
   0.000	  -2.128
   0.006	  -2.119
   0.012	  -2.083
   0.018	  -2.050
   0.023	  -2.031
   0.029	  -2.003
   0.035	  -1.975
   0.041	  -1.950
   0.047	  -1.943
   0.053	  -1.928
   0.059	  -1.906
   0.064	  -1.902
   0.070	  -1.891
   0.076	  -1.893
   0.082	  -1.884
   0.088	  -1.875
   0.094	  -1.880
   0.100	  -1.870
   0.105	  -1.853
   0.111	  -1.822
   0.117	  -1.820
   0.123	  -1.803
   0.129	  -1.777
   0.135	  -1.771
   0.141	  -1.761
   0.146	  -1.762
   0.152	  -1.743
   0.158	  -1.738
   0.164	  -1.746
   0.170	  -1.741
   0.176	  -1.729
   0.182	  -1.707
   0.188	  -1.709
   0.193	  -1.696
   0.199	  -1.671
   0.205	  -1.668
   0.211	  -1.655
   0.217	  -1.656
   0.223	  -1.636
   0.229	  -1.629
   0.234	  -1.631
   0.240	  -1.629
   0.246	  -1.612
   0.252	  -1.604
   0.258	  -1.610
   0.264	  -1.599
   0.270	  -1.578
   0.275	  -1.571
   0.281	  -1.574
   0.287	  -1.569
   0.293	  -1.549
   0.299	  -1.538
   0.305	  -1.543
   0.311	  -1.531
   0.316	  -1.527
   0.322	  -1.512
   0.328	  -1.525
   0.334	  -1.510
   0.340	  -1.501
   0.346	  -1.491
   0.352	  -1.495
   0.357	  -1.488
   0.363	  -1.467
   0.369	  -1.473
   0.375	  -1.463
   0.381	  -1.468
   0.387	  -1.452
   0.393	  -1.444
   0.398	  -1.450
   0.404	  -1.434
   0.410	  -1.426
   0.416	  -1.427
   0.422	  -1.430
   0.428	  -1.421
   0.434	  -1.407
   0.439	  -1.410
   0.445	  -1.406
   0.451	  -1.396
   0.457	  -1.389
   0.463	  -1.384
   0.469	  -1.389
   0.475	  -1.382
   0.480	  -1.364
   0.486	  -1.379
   0.492	  -1.370
   0.498	  -1.363
   0.504	  -1.359
   0.510	  -1.364
   0.516	  -1.363
   0.521	  -1.337
   0.527	  -1.355
   0.533	  -1.344
   0.539	  -1.340
   0.545	  -1.330
   0.551	  -1.332
   0.557	  -1.338
   0.562	  -1.320
   0.568	  -1.330
   0.574	  -1.320
   0.580	  -1.332
   0.586	  -1.308
   0.592	  -1.307
   0.598	  -1.321
   0.604	  -1.308
   0.609	  -1.306
   0.615	  -1.293
   0.621	  -1.309
   0.627	  -1.299
   0.633	  -1.291
   0.639	  -1.295
   0.645	  -1.293
   0.650	  -1.292
   0.656	  -1.278
   0.662	  -1.284
   0.668	  -1.287
   0.674	  -1.279
   0.680	  -1.278
   0.686	  -1.284
   0.691	  -1.283
   0.697	  -1.274
   0.703	  -1.266
   0.709	  -1.275
   0.715	  -1.276
   0.721	  -1.264
   0.727	  -1.265
   0.732	  -1.266
