    µm         	 V
   1.699	  -1.026
   1.705	  -1.014
   1.711	  -1.009
   1.717	  -1.014
   1.723	  -1.012
   1.729	  -1.009
   1.734	  -1.006
   1.740	  -1.007
   1.746	  -1.000
   1.752	  -0.995
   1.758	  -0.994
   1.764	  -0.992
   1.770	  -0.997
   1.775	  -0.988
   1.781	  -0.988
   1.787	  -1.000
   1.793	  -0.979
   1.799	  -0.996
   1.805	  -0.973
   1.811	  -0.985
   1.816	  -0.989
   1.822	  -0.973
   1.828	  -0.983
   1.834	  -0.959
   1.840	  -0.988
   1.846	  -0.962
   1.852	  -0.980
   1.857	  -0.963
   1.863	  -0.974
   1.869	  -0.975
   1.875	  -0.967
   1.881	  -0.977
   1.887	  -0.972
   1.893	  -0.973
   1.898	  -0.973
   1.904	  -0.971
   1.910	  -0.961
   1.916	  -0.965
   1.922	  -0.960
   1.928	  -0.960
   1.934	  -0.954
   1.939	  -0.957
   1.945	  -0.953
   1.951	  -0.951
   1.957	  -0.941
   1.963	  -0.945
   1.969	  -0.943
   1.975	  -0.950
   1.980	  -0.950
   1.986	  -0.952
   1.992	  -0.940
   1.998	  -0.943
   2.004	  -0.944
   2.010	  -0.936
   2.016	  -0.943
   2.021	  -0.934
   2.027	  -0.937
   2.033	  -0.924
   2.039	  -0.940
   2.045	  -0.918
   2.051	  -0.934
   2.057	  -0.915
   2.063	  -0.923
   2.068	  -0.917
   2.074	  -0.909
   2.080	  -0.920
   2.086	  -0.900
   2.092	  -0.916
   2.098	  -0.895
   2.104	  -0.903
   2.109	  -0.889
   2.115	  -0.891
   2.121	  -0.888
   2.127	  -0.887
   2.133	  -0.880
   2.139	  -0.889
   2.145	  -0.876
   2.150	  -0.868
   2.156	  -0.871
   2.162	  -0.862
   2.168	  -0.864
   2.174	  -0.845
   2.180	  -0.858
   2.186	  -0.845
   2.191	  -0.850
   2.197	  -0.838
   2.203	  -0.845
   2.209	  -0.834
   2.215	  -0.838
   2.221	  -0.835
   2.227	  -0.832
   2.232	  -0.830
   2.238	  -0.829
   2.244	  -0.828
   2.250	  -0.819
   2.256	  -0.813
   2.262	  -0.810
   2.268	  -0.814
   2.273	  -0.799
   2.279	  -0.809
   2.285	  -0.789
   2.291	  -0.807
   2.297	  -0.790
   2.303	  -0.792
   2.309	  -0.793
   2.314	  -0.777
   2.320	  -0.785
   2.326	  -0.779
   2.332	  -0.774
   2.338	  -0.777
   2.344	  -0.769
   2.350	  -0.770
   2.355	  -0.761
   2.361	  -0.754
   2.367	  -0.762
   2.373	  -0.741
   2.379	  -0.753
   2.385	  -0.733
   2.391	  -0.742
   2.396	  -0.738
   2.402	  -0.730
   2.408	  -0.739
   2.414	  -0.716
   2.420	  -0.732
   2.426	  -0.714
   2.432	  -0.716
   2.438	  -0.718
   2.443	  -0.702
   2.449	  -0.709
   2.455	  -0.687
   2.461	  -0.704
   2.467	  -0.683
   2.473	  -0.682
   2.479	  -0.680
   2.484	  -0.678
   2.490	  -0.677
   2.496	  -0.668
   2.502	  -0.679
   2.508	  -0.660
   2.514	  -0.657
   2.520	  -0.663
   2.525	  -0.647
   2.531	  -0.661
   2.537	  -0.640
   2.543	  -0.652
   2.549	  -0.629
   2.555	  -0.632
   2.561	  -0.634
   2.566	  -0.614
   2.572	  -0.626
   2.578	  -0.610
   2.584	  -0.625
   2.590	  -0.599
   2.596	  -0.605
   2.602	  -0.592
   2.607	  -0.584
   2.613	  -0.579
   2.619	  -0.566
   2.625	  -0.575
   2.631	  -0.562
   2.637	  -0.558
   2.643	  -0.560
   2.648	  -0.556
   2.654	  -0.542
   2.660	  -0.546
   2.666	  -0.541
   2.672	  -0.543
   2.678	  -0.533
   2.684	  -0.517
   2.689	  -0.512
   2.695	  -0.508
   2.701	  -0.507
   2.707	  -0.494
   2.713	  -0.504
   2.719	  -0.483
   2.725	  -0.489
   2.730	  -0.479
   2.736	  -0.483
   2.742	  -0.482
   2.748	  -0.466
   2.754	  -0.463
   2.760	  -0.460
   2.766	  -0.459
   2.771	  -0.458
   2.777	  -0.447
   2.783	  -0.448
   2.789	  -0.439
   2.795	  -0.437
   2.801	  -0.440
   2.807	  -0.422
   2.813	  -0.430
   2.818	  -0.408
   2.824	  -0.420
   2.830	  -0.404
   2.836	  -0.396
   2.842	  -0.410
   2.848	  -0.383
   2.854	  -0.400
   2.859	  -0.366
   2.865	  -0.389
   2.871	  -0.370
   2.877	  -0.372
   2.883	  -0.361
   2.889	  -0.358
   2.895	  -0.354
   2.900	  -0.340
   2.906	  -0.341
   2.912	  -0.336
   2.918	  -0.333
   2.924	  -0.320
   2.930	  -0.313
   2.936	  -0.319
   2.941	  -0.310
   2.947	  -0.308
   2.953	  -0.290
   2.959	  -0.301
   2.965	  -0.290
   2.971	  -0.289
   2.977	  -0.292
   2.982	  -0.268
