    µm         	 V
   0.000	  -1.890
   0.006	  -1.890
   0.012	  -1.867
   0.018	  -1.864
   0.023	  -1.876
   0.029	  -1.862
   0.035	  -1.857
   0.041	  -1.872
   0.047	  -1.859
   0.053	  -1.858
   0.059	  -1.875
   0.064	  -1.883
   0.070	  -1.870
   0.076	  -1.893
   0.082	  -1.886
   0.088	  -1.888
   0.094	  -1.892
   0.100	  -1.884
   0.105	  -1.876
   0.111	  -1.884
   0.117	  -1.870
   0.123	  -1.867
   0.129	  -1.879
   0.135	  -1.860
   0.141	  -1.879
   0.146	  -1.884
   0.152	  -1.877
   0.158	  -1.884
   0.164	  -1.894
   0.170	  -1.886
   0.176	  -1.883
   0.182	  -1.899
   0.188	  -1.881
   0.193	  -1.882
   0.199	  -1.887
   0.205	  -1.876
   0.211	  -1.874
   0.217	  -1.890
   0.223	  -1.870
   0.229	  -1.884
   0.234	  -1.889
   0.240	  -1.881
   0.246	  -1.889
   0.252	  -1.889
   0.258	  -1.880
   0.264	  -1.890
   0.270	  -1.899
   0.275	  -1.875
   0.281	  -1.886
   0.287	  -1.884
   0.293	  -1.878
   0.299	  -1.899
   0.305	  -1.885
   0.311	  -1.887
   0.316	  -1.887
   0.322	  -1.888
   0.328	  -1.878
   0.334	  -1.896
   0.340	  -1.894
   0.346	  -1.881
   0.352	  -1.903
   0.357	  -1.880
   0.363	  -1.882
   0.369	  -1.894
   0.375	  -1.886
   0.381	  -1.888
   0.387	  -1.893
   0.393	  -1.899
   0.398	  -1.880
   0.404	  -1.906
   0.410	  -1.883
   0.416	  -1.888
   0.422	  -1.897
   0.428	  -1.893
   0.434	  -1.890
   0.439	  -1.894
   0.445	  -1.891
   0.451	  -1.888
   0.457	  -1.901
   0.463	  -1.880
   0.469	  -1.900
   0.475	  -1.897
   0.480	  -1.893
   0.486	  -1.900
   0.492	  -1.901
   0.498	  -1.889
   0.504	  -1.905
   0.510	  -1.899
   0.516	  -1.882
   0.521	  -1.898
   0.527	  -1.893
   0.533	  -1.890
   0.539	  -1.896
   0.545	  -1.895
   0.551	  -1.891
   0.557	  -1.901
   0.562	  -1.896
   0.568	  -1.896
   0.574	  -1.904
   0.580	  -1.894
   0.586	  -1.894
   0.592	  -1.906
   0.598	  -1.892
   0.604	  -1.901
   0.609	  -1.904
   0.615	  -1.895
   0.621	  -1.906
   0.627	  -1.895
   0.633	  -1.896
   0.639	  -1.896
   0.645	  -1.905
   0.650	  -1.891
   0.656	  -1.909
   0.662	  -1.899
   0.668	  -1.897
   0.674	  -1.908
   0.680	  -1.906
   0.686	  -1.896
   0.691	  -1.913
   0.697	  -1.897
   0.703	  -1.909
   0.709	  -1.907
   0.715	  -1.902
   0.721	  -1.896
   0.727	  -1.908
   0.732	  -1.896
   0.738	  -1.899
   0.744	  -1.908
   0.750	  -1.899
   0.756	  -1.905
   0.762	  -1.906
   0.768	  -1.898
   0.773	  -1.905
   0.779	  -1.913
   0.785	  -1.899
   0.791	  -1.915
   0.797	  -1.909
   0.803	  -1.905
   0.809	  -1.913
   0.814	  -1.905
   0.820	  -1.903
   0.826	  -1.907
   0.832	  -1.913
   0.838	  -1.902
   0.844	  -1.919
   0.850	  -1.901
   0.855	  -1.911
   0.861	  -1.910
   0.867	  -1.906
   0.873	  -1.917
   0.879	  -1.908
   0.885	  -1.912
   0.891	  -1.915
   0.896	  -1.913
   0.902	  -1.910
   0.908	  -1.924
   0.914	  -1.910
   0.920	  -1.915
   0.926	  -1.923
   0.932	  -1.918
   0.937	  -1.914
   0.943	  -1.921
   0.949	  -1.911
   0.955	  -1.918
   0.961	  -1.919
   0.967	  -1.913
   0.973	  -1.922
   0.979	  -1.918
   0.984	  -1.915
   0.990	  -1.925
   0.996	  -1.922
   1.002	  -1.916
   1.008	  -1.920
   1.014	  -1.927
   1.020	  -1.912
   1.025	  -1.936
   1.031	  -1.924
   1.037	  -1.923
   1.043	  -1.930
   1.049	  -1.916
   1.055	  -1.921
   1.061	  -1.930
   1.066	  -1.924
   1.072	  -1.921
   1.078	  -1.934
   1.084	  -1.923
   1.090	  -1.927
   1.096	  -1.929
   1.102	  -1.925
   1.107	  -1.931
   1.113	  -1.936
   1.119	  -1.930
   1.125	  -1.934
   1.131	  -1.937
   1.137	  -1.924
   1.143	  -1.938
   1.148	  -1.937
   1.154	  -1.925
   1.160	  -1.944
   1.166	  -1.926
   1.172	  -1.934
   1.178	  -1.932
   1.184	  -1.939
   1.189	  -1.932
   1.195	  -1.949
   1.201	  -1.935
   1.207	  -1.932
   1.213	  -1.945
   1.219	  -1.919
   1.225	  -1.945
   1.230	  -1.936
   1.236	  -1.941
   1.242	  -1.936
   1.248	  -1.944
   1.254	  -1.938
   1.260	  -1.943
   1.266	  -1.946
   1.271	  -1.941
   1.277	  -1.954
