    µm         	 V
   1.283	  -1.938
   1.289	  -1.939
   1.295	  -1.950
   1.301	  -1.944
   1.307	  -1.944
   1.313	  -1.950
   1.318	  -1.938
   1.324	  -1.954
   1.330	  -1.947
   1.336	  -1.946
   1.342	  -1.954
   1.348	  -1.947
   1.354	  -1.949
   1.359	  -1.951
   1.365	  -1.951
   1.371	  -1.950
   1.377	  -1.958
   1.383	  -1.948
   1.389	  -1.955
   1.395	  -1.958
   1.400	  -1.950
   1.406	  -1.964
   1.412	  -1.950
   1.418	  -1.958
   1.424	  -1.964
   1.430	  -1.953
   1.436	  -1.955
   1.441	  -1.962
   1.447	  -1.960
   1.453	  -1.959
   1.459	  -1.961
   1.465	  -1.950
   1.471	  -1.968
   1.477	  -1.953
   1.482	  -1.964
   1.488	  -1.961
   1.494	  -1.968
   1.500	  -1.964
   1.506	  -1.968
   1.512	  -1.955
   1.518	  -1.968
   1.523	  -1.972
   1.529	  -1.951
   1.535	  -1.974
   1.541	  -1.961
   1.547	  -1.967
   1.553	  -1.968
   1.559	  -1.964
   1.564	  -1.966
   1.570	  -1.962
   1.576	  -1.964
   1.582	  -1.963
   1.588	  -1.979
   1.594	  -1.965
   1.600	  -1.974
   1.605	  -1.977
   1.611	  -1.962
   1.617	  -1.976
   1.623	  -1.966
   1.629	  -1.970
   1.635	  -1.967
   1.641	  -1.975
   1.646	  -1.959
   1.652	  -1.974
   1.658	  -1.973
   1.664	  -1.959
   1.670	  -1.977
   1.676	  -1.964
   1.682	  -1.967
   1.688	  -1.967
   1.693	  -1.963
   1.699	  -1.961
   1.705	  -1.964
   1.711	  -1.961
   1.717	  -1.961
   1.723	  -1.961
   1.729	  -1.954
   1.734	  -1.964
   1.740	  -1.959
   1.746	  -1.951
   1.752	  -1.963
   1.758	  -1.954
   1.764	  -1.951
   1.770	  -1.957
   1.775	  -1.943
   1.781	  -1.946
   1.787	  -1.944
   1.793	  -1.946
   1.799	  -1.941
   1.805	  -1.950
   1.811	  -1.934
   1.816	  -1.938
   1.822	  -1.946
   1.828	  -1.931
   1.834	  -1.948
   1.840	  -1.924
   1.846	  -1.933
   1.852	  -1.934
   1.857	  -1.931
   1.863	  -1.930
   1.869	  -1.933
   1.875	  -1.929
   1.881	  -1.925
   1.887	  -1.937
   1.893	  -1.919
   1.898	  -1.939
   1.904	  -1.927
   1.910	  -1.924
   1.916	  -1.930
   1.922	  -1.926
   1.928	  -1.927
   1.934	  -1.933
   1.939	  -1.922
   1.945	  -1.917
   1.951	  -1.925
   1.957	  -1.915
   1.963	  -1.929
   1.969	  -1.919
   1.975	  -1.916
   1.980	  -1.915
   1.986	  -1.921
   1.992	  -1.909
   1.998	  -1.922
   2.004	  -1.911
   2.010	  -1.909
   2.016	  -1.925
   2.021	  -1.906
   2.027	  -1.913
   2.033	  -1.912
   2.039	  -1.903
   2.045	  -1.911
   2.051	  -1.903
   2.057	  -1.902
   2.063	  -1.911
   2.068	  -1.902
   2.074	  -1.897
   2.080	  -1.903
   2.086	  -1.898
   2.092	  -1.892
   2.098	  -1.900
   2.104	  -1.879
   2.109	  -1.892
   2.115	  -1.885
   2.121	  -1.883
   2.127	  -1.892
   2.133	  -1.887
   2.139	  -1.871
   2.145	  -1.888
   2.150	  -1.868
   2.156	  -1.887
   2.162	  -1.882
   2.168	  -1.877
   2.174	  -1.880
   2.180	  -1.874
   2.186	  -1.866
   2.191	  -1.867
   2.197	  -1.863
   2.203	  -1.862
   2.209	  -1.869
   2.215	  -1.852
   2.221	  -1.856
   2.227	  -1.854
   2.232	  -1.841
   2.238	  -1.856
   2.244	  -1.845
   2.250	  -1.842
   2.256	  -1.845
   2.262	  -1.838
   2.268	  -1.833
   2.273	  -1.842
   2.279	  -1.826
   2.285	  -1.823
   2.291	  -1.830
   2.297	  -1.818
   2.303	  -1.815
   2.309	  -1.811
   2.314	  -1.804
   2.320	  -1.807
   2.326	  -1.806
   2.332	  -1.796
   2.338	  -1.800
   2.344	  -1.801
   2.350	  -1.773
   2.355	  -1.798
   2.361	  -1.768
   2.367	  -1.783
   2.373	  -1.776
   2.379	  -1.774
   2.385	  -1.768
   2.391	  -1.779
   2.396	  -1.767
   2.402	  -1.753
   2.408	  -1.770
   2.414	  -1.743
   2.420	  -1.757
   2.426	  -1.747
   2.432	  -1.740
   2.438	  -1.743
   2.443	  -1.729
   2.449	  -1.731
   2.455	  -1.741
   2.461	  -1.721
   2.467	  -1.730
   2.473	  -1.720
   2.479	  -1.718
   2.484	  -1.714
   2.490	  -1.716
   2.496	  -1.700
   2.502	  -1.706
   2.508	  -1.704
   2.514	  -1.684
   2.520	  -1.698
   2.525	  -1.685
   2.531	  -1.684
   2.537	  -1.693
   2.543	  -1.669
   2.549	  -1.681
   2.555	  -1.668
   2.561	  -1.665
   2.566	  -1.674
   2.572	  -1.656
   2.578	  -1.662
   2.584	  -1.656
   2.590	  -1.646
   2.596	  -1.645
   2.602	  -1.650
   2.607	  -1.633
   2.613	  -1.638
   2.619	  -1.634
   2.625	  -1.621
   2.631	  -1.631
   2.637	  -1.615
   2.643	  -1.621
   2.648	  -1.621
   2.654	  -1.614
   2.660	  -1.610
   2.666	  -1.611
   2.672	  -1.601
   2.678	  -1.608
   2.684	  -1.604
   2.689	  -1.590
   2.695	  -1.597
   2.701	  -1.586
   2.707	  -1.582
   2.713	  -1.583
   2.719	  -1.576
   2.725	  -1.566
   2.730	  -1.582
   2.736	  -1.568
   2.742	  -1.563
   2.748	  -1.565
   2.754	  -1.553
   2.760	  -1.557
   2.766	  -1.568
   2.771	  -1.556
   2.777	  -1.560
   2.783	  -1.553
   2.789	  -1.541
   2.795	  -1.554
   2.801	  -1.545
   2.807	  -1.539
   2.813	  -1.541
   2.818	  -1.526
   2.824	  -1.527
   2.830	  -1.529
   2.836	  -1.515
   2.842	  -1.521
   2.848	  -1.521
   2.854	  -1.517
   2.859	  -1.521
   2.865	  -1.513
   2.871	  -1.505
   2.877	  -1.517
   2.883	  -1.502
   2.889	  -1.506
   2.895	  -1.506
   2.900	  -1.489
   2.906	  -1.503
   2.912	  -1.485
   2.918	  -1.481
   2.924	  -1.489
   2.930	  -1.480
   2.936	  -1.483
   2.941	  -1.482
   2.947	  -1.464
   2.953	  -1.478
   2.959	  -1.467
   2.965	  -1.463
   2.971	  -1.466
   2.977	  -1.469
   2.982	  -1.453
