    µm         	mV
   0.000	-407.625
   0.006	-408.750
   0.012	-380.625
   0.018	-421.500
   0.023	-405.000
   0.029	-398.625
   0.035	-388.500
   0.041	-375.750
   0.047	-407.250
   0.053	-378.000
   0.059	-400.125
   0.064	-381.000
   0.070	-416.250
   0.076	-414.000
   0.082	-391.500
   0.088	-418.500
   0.094	-397.125
   0.100	-405.375
   0.105	-368.625
   0.111	-399.375
   0.117	-384.000
   0.123	-399.750
   0.129	-402.000
   0.135	-405.000
   0.141	-412.500
   0.146	-394.500
   0.152	-399.000
   0.158	-386.250
   0.164	-393.375
   0.170	-389.625
   0.176	-406.500
   0.182	-402.750
   0.188	-398.250
   0.193	-399.375
   0.199	-395.625
   0.205	-403.125
   0.211	-399.750
   0.217	-406.500
   0.223	-390.750
   0.229	-412.875
   0.234	-398.625
   0.240	-394.125
   0.246	-396.750
   0.252	-402.000
   0.258	-398.625
   0.264	-387.750
   0.270	-406.125
   0.275	-406.875
   0.281	-401.625
   0.287	-394.500
   0.293	-406.500
   0.299	-406.500
   0.305	-409.125
   0.311	-400.875
   0.316	-408.375
   0.322	-396.750
   0.328	-403.500
   0.334	-405.000
   0.340	-399.375
   0.346	-410.625
   0.352	-387.000
   0.357	-415.125
   0.363	-391.875
   0.369	-417.000
   0.375	-389.250
   0.381	-409.125
   0.387	-408.000
   0.393	-404.625
   0.398	-408.000
   0.404	-390.000
   0.410	-418.875
   0.416	-394.875
   0.422	-408.750
   0.428	-399.750
   0.434	-418.875
   0.439	-415.500
   0.445	-403.875
   0.451	-413.250
   0.457	-405.375
   0.463	-394.125
   0.469	-407.625
   0.475	-408.750
   0.480	-407.625
   0.486	-413.250
   0.492	-407.250
   0.498	-415.500
   0.504	-399.750
   0.510	-415.125
   0.516	-402.750
   0.521	-419.625
   0.527	-405.375
   0.533	-409.500
   0.539	-406.125
   0.545	-403.500
   0.551	-415.125
   0.557	-397.875
   0.562	-417.750
   0.568	-393.750
   0.574	-429.000
   0.580	-399.750
   0.586	-422.250
   0.592	-403.125
   0.598	-402.375
   0.604	-415.500
   0.609	-401.250
   0.615	-421.500
   0.621	-387.000
   0.627	-429.750
   0.633	-408.000
   0.639	-424.500
   0.645	-394.125
   0.650	-411.000
   0.656	-417.750
   0.662	-402.750
   0.668	-410.250
   0.674	-402.375
   0.680	-419.250
   0.686	-399.750
   0.691	-414.000
   0.697	-411.375
   0.703	-406.875
   0.709	-414.000
   0.715	-398.250
   0.721	-414.375
   0.727	-408.750
   0.732	-416.250
   0.738	-421.500
   0.744	-401.250
   0.750	-429.000
   0.756	-405.750
   0.762	-424.875
   0.768	-397.125
   0.773	-425.625
   0.779	-417.375
   0.785	-415.125
   0.791	-423.375
   0.797	-409.875
   0.803	-415.500
   0.809	-399.750
   0.814	-422.625
   0.820	-404.250
   0.826	-418.125
   0.832	-422.625
   0.838	-420.750
   0.844	-418.125
   0.850	-406.500
   0.855	-413.625
   0.861	-411.750
   0.867	-421.500
   0.873	-412.125
   0.879	-402.000
   0.885	-405.750
   0.891	-417.375
   0.896	-417.000
   0.902	-408.375
   0.908	-408.375
   0.914	-420.375
   0.920	-423.750
   0.926	-414.000
   0.932	-418.500
   0.937	-432.375
   0.943	-406.125
   0.949	-418.875
   0.955	-403.500
   0.961	-424.875
   0.967	-400.875
   0.973	-414.000
   0.979	-416.625
   0.984	-412.125
   0.990	-416.625
   0.996	-402.750
   1.002	-429.375
   1.008	-409.875
