    µm         	mV
   1.014	-419.250
   1.020	-405.000
   1.025	-409.875
   1.031	-423.750
   1.037	-408.375
   1.043	-411.750
   1.049	-394.875
   1.055	-427.125
   1.061	-415.125
   1.066	-414.375
   1.072	-414.750
   1.078	-410.250
   1.084	-409.500
   1.090	-400.500
   1.096	-418.125
   1.102	-404.625
   1.107	-414.000
   1.113	-414.750
   1.119	-420.375
   1.125	-406.875
   1.131	-416.625
   1.137	-426.375
   1.143	-428.250
   1.148	-411.000
   1.154	-418.500
   1.160	-411.750
   1.166	-414.375
   1.172	-426.375
   1.178	-409.500
   1.184	-414.750
   1.189	-396.000
   1.195	-425.625
   1.201	-393.000
   1.207	-418.875
   1.213	-405.000
   1.219	-415.500
   1.225	-406.875
   1.230	-402.375
   1.236	-429.375
   1.242	-400.875
   1.248	-408.375
   1.254	-396.750
   1.260	-432.375
   1.266	-406.500
   1.271	-409.500
   1.277	-390.750
   1.283	-408.000
   1.289	-397.875
   1.295	-408.375
   1.301	-400.875
   1.307	-403.500
   1.313	-413.250
   1.318	-415.875
   1.324	-413.250
   1.330	-405.000
   1.336	-413.250
   1.342	-410.625
   1.348	-412.875
   1.354	-410.625
   1.359	-411.375
   1.365	-412.500
   1.371	-414.000
   1.377	-419.250
   1.383	-402.375
   1.389	-393.375
   1.395	-417.375
   1.400	-411.000
   1.406	-403.125
   1.412	-404.625
   1.418	-412.125
   1.424	-401.250
   1.430	-412.500
   1.436	-411.000
   1.441	-406.500
   1.447	-405.750
   1.453	-399.750
   1.459	-417.000
   1.465	-400.500
   1.471	-406.875
   1.477	-400.875
   1.482	-415.125
   1.488	-405.000
   1.494	-398.625
   1.500	-405.375
   1.506	-397.500
   1.512	-429.375
   1.518	-400.500
   1.523	-403.500
   1.529	-395.250
   1.535	-411.000
   1.541	-415.125
   1.547	-395.625
   1.553	-409.125
   1.559	-390.000
   1.564	-412.875
   1.570	-396.000
   1.576	-422.250
   1.582	-394.875
   1.588	-397.500
   1.594	-387.000
   1.600	-407.250
   1.605	-395.250
   1.611	-402.375
   1.617	-388.125
   1.623	-391.875
   1.629	-398.625
   1.635	-405.000
   1.641	-414.750
   1.646	-384.750
   1.652	-411.750
   1.658	-397.875
   1.664	-414.000
   1.670	-382.500
   1.676	-410.250
   1.682	-397.500
   1.688	-399.750
   1.693	-388.125
   1.699	-386.625
   1.705	-405.750
   1.711	-381.750
   1.717	-405.000
   1.723	-386.625
   1.729	-403.875
   1.734	-392.625
   1.740	-400.500
   1.746	-377.250
   1.752	-385.875
   1.758	-385.125
   1.764	-383.625
   1.770	-388.125
   1.775	-391.875
   1.781	-383.250
   1.787	-378.750
   1.793	-381.750
   1.799	-394.500
   1.805	-383.625
   1.811	-379.500
   1.816	-381.000
   1.822	-374.250
   1.828	-383.250
   1.834	-375.000
   1.840	-397.875
   1.846	-369.000
   1.852	-379.875
   1.857	-380.625
   1.863	-385.125
   1.869	-356.625
   1.875	-382.875
   1.881	-380.625
   1.887	-369.375
   1.893	-370.125
   1.898	-368.625
   1.904	-376.125
   1.910	-374.250
   1.916	-372.000
   1.922	-348.375
   1.928	-357.000
   1.934	-365.625
   1.939	-369.000
   1.945	-352.125
   1.951	-358.125
   1.957	-358.875
   1.963	-363.750
   1.969	-350.250
   1.975	-364.500
   1.980	-344.250
   1.986	-355.125
   1.992	-346.125
   1.998	-360.000
   2.004	-352.875
   2.010	-343.500
   2.016	-370.500
   2.021	-340.125
   2.027	-347.250
   2.033	-336.750
   2.039	-355.500
   2.045	-342.000
   2.051	-330.750
   2.057	-324.375
   2.063	-327.375
   2.068	-330.750
   2.074	-337.875
   2.080	-334.875
   2.086	-319.500
   2.092	-329.625
   2.098	-326.250
   2.104	-331.875
   2.109	-318.375
   2.115	-319.875
   2.121	-328.125
   2.127	-309.750
   2.133	-335.625
   2.139	-290.625
   2.145	-319.875
   2.150	-289.875
   2.156	-327.000
   2.162	-303.750
   2.168	-300.000
   2.174	-309.375
   2.180	-301.125
   2.186	-301.500
   2.191	-270.000
   2.197	-304.875
   2.203	-276.000
   2.209	-295.875
   2.215	-286.875
   2.221	-290.625
   2.227	-283.875
   2.232	-272.625
   2.238	-288.375
   2.244	-279.375
   2.250	-268.125
   2.256	-274.125
   2.262	-258.750
   2.268	-287.625
   2.273	-271.125
   2.279	-292.125
   2.285	-250.125
   2.291	-260.250
   2.297	-258.750
   2.303	-268.875
   2.309	-255.750
   2.314	-242.250
   2.320	-263.625
   2.326	-235.500
   2.332	-253.500
   2.338	-226.500
   2.344	-253.500
   2.350	-214.125
   2.355	-244.875
   2.361	-225.000
   2.367	-233.250
   2.373	-226.875
   2.379	-231.750
   2.385	-235.125
   2.391	-213.750
   2.396	-228.750
   2.402	-206.625
   2.408	-220.125
   2.414	-206.250
   2.420	-229.500
   2.426	-189.375
   2.432	-191.625
   2.438	-193.125
   2.443	-209.250
   2.449	-181.125
   2.455	-180.000
   2.461	-172.125
   2.467	-181.875
   2.473	-166.875
   2.479	-166.875
   2.484	-148.125
   2.490	-159.375
   2.496	-169.125
   2.502	-165.375
   2.508	-173.625
   2.514	-142.125
   2.520	-167.625
   2.525	-152.625
   2.531	-168.750
   2.537	-155.250
   2.543	-153.000
   2.549	-144.375
   2.555	-166.500
   2.561	-148.875
   2.566	-156.375
   2.572	-132.000
   2.578	-179.625
   2.584	-153.375
   2.590	-143.250
   2.596	-135.000
   2.602	-133.125
   2.607	-159.375
   2.613	-121.500
   2.619	-142.875
   2.625	-109.125
   2.631	-127.875
   2.637	-124.125
   2.643	-119.250
   2.648	-133.125
   2.654	 -84.750
   2.660	-128.625
   2.666	 -83.625
   2.672	-119.625
   2.678	 -96.000
   2.684	 -92.625
   2.689	 -82.125
   2.695	 -73.875
   2.701	-105.750
   2.707	 -66.375
   2.713	 -94.125
   2.719	 -55.500
   2.725	 -79.500
   2.730	 -40.125
   2.736	 -55.875
   2.742	 -45.000
   2.748	 -51.375
   2.754	 -32.250
   2.760	 -19.500
   2.766	 -30.750
   2.771	 -15.375
   2.777	 -48.375
   2.783	   1.500
   2.789	 -21.000
   2.795	   9.750
   2.801	 -13.125
   2.807	   0.000
   2.813	   9.375
   2.818	  -8.250
   2.824	  32.250
   2.830	  14.625
   2.836	  51.750
   2.842	  17.250
   2.848	  37.500
   2.854	  66.750
   2.859	  42.750
   2.865	  79.125
   2.871	  55.500
   2.877	  94.125
   2.883	  53.250
   2.889	  89.625
   2.895	  82.500
   2.900	  95.250
   2.906	  96.750
   2.912	  99.000
   2.918	 111.000
   2.924	  83.250
   2.930	 132.375
   2.936	 110.625
   2.941	 143.250
   2.947	 125.625
   2.953	 153.375
   2.959	 146.625
   2.965	 169.500
   2.971	 163.125
   2.977	 170.625
   2.982	 179.625
